期货代码,期货名称,secid,归属交易所
fu2307,燃油2307,113.fu2307,上期所
i2312,铁矿石2312,114.i2312,大商所
i2311,铁矿石2311,114.i2311,大商所
i2310,铁矿石2310,114.i2310,大商所
UR307,尿素307,115.UR307,郑商所
is,铁矿石次主连,114.is,大商所
i2401,铁矿石2401,114.i2401,大商所
im,铁矿石主连,114.im,大商所
i2309,铁矿石2309,114.i2309,大商所
i2402,铁矿石2402,114.i2402,大商所
i2308,铁矿石2308,114.i2308,大商所
i2403,铁矿石2403,114.i2403,大商所
i2406,铁矿石2406,114.i2406,大商所
i2404,铁矿石2404,114.i2404,大商所
i2405,铁矿石2405,114.i2405,大商所
wrm,线材主连,113.wrm,上期所
wr2310,线材2310,113.wr2310,上期所
UR308,尿素308,115.UR308,郑商所
i2307,铁矿石2307,114.i2307,大商所
MA402,甲醇402,115.MA402,郑商所
js,焦炭次主连,114.js,大商所
j2401,焦炭2401,114.j2401,大商所
hc2402,热卷2402,113.hc2402,上期所
wr2403,线材2403,113.wr2403,上期所
hcm,热卷主连,113.hcm,上期所
hc2310,热卷2310,113.hc2310,上期所
MA403,甲醇403,115.MA403,郑商所
jmm,焦煤主连,114.jmm,大商所
jm2309,焦煤2309,114.jm2309,大商所
MAM,甲醇主连,115.MAM,郑商所
MA309,甲醇309,115.MA309,郑商所
jms,焦煤次主连,114.jms,大商所
jm2401,焦煤2401,114.jm2401,大商所
MA310,甲醇310,115.MA310,郑商所
MAS,甲醇次主连,115.MAS,郑商所
MA308,甲醇308,115.MA308,郑商所
hc2405,热卷2405,113.hc2405,上期所
rb2308,螺纹钢2308,113.rb2308,上期所
hcs,热卷次主连,113.hcs,上期所
hc2311,热卷2311,113.hc2311,上期所
rb2309,螺纹钢2309,113.rb2309,上期所
hc2403,热卷2403,113.hc2403,上期所
hc2312,热卷2312,113.hc2312,上期所
rbs,螺纹钢次主连,113.rbs,上期所
rb2311,螺纹钢2311,113.rb2311,上期所
j2405,焦炭2405,114.j2405,大商所
hc2309,热卷2309,113.hc2309,上期所
rbm,螺纹钢主连,113.rbm,上期所
rb2310,螺纹钢2310,113.rb2310,上期所
hc2401,热卷2401,113.hc2401,上期所
jm2310,焦煤2310,114.jm2310,大商所
jm,焦炭主连,114.jm,大商所
j2309,焦炭2309,114.j2309,大商所
MA312,甲醇312,115.MA312,郑商所
hc2308,热卷2308,113.hc2308,上期所
MA311,甲醇311,115.MA311,郑商所
MA307,甲醇307,115.MA307,郑商所
MA406,甲醇406,115.MA406,郑商所
MA401,甲醇401,115.MA401,郑商所
APM,苹果主连,115.APM,郑商所
AP310,苹果310,115.AP310,郑商所
hc2404,热卷2404,113.hc2404,上期所
MA405,甲醇405,115.MA405,郑商所
