期货名称,期货代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
棕榈油2309,p2309,2023-07-12 21:05,7526,7546,7554,7526,27150,2048419120,0.37,0.43,32.0,0.0
棕榈油2309,p2309,2023-07-12 21:10,7546,7558,7562,7544,16868,1274432240,0.24,0.16,12.0,0.0
棕榈油2309,p2309,2023-07-12 21:15,7556,7562,7568,7554,11026,833552120,0.19,0.05,4.0,0.0
棕榈油2309,p2309,2023-07-12 21:20,7562,7586,7592,7558,19647,1488661900,0.45,0.32,24.0,0.0
棕榈油2309,p2309,2023-07-12 21:25,7586,7584,7588,7576,14968,1134697700,0.16,-0.03,-2.0,0.0
棕榈油2309,p2309,2023-07-12 21:30,7590,7598,7618,7588,29690,2256613220,0.4,0.18,14.0,0.0
棕榈油2309,p2309,2023-07-12 21:35,7600,7590,7606,7584,21285,1616771860,0.29,-0.11,-8.0,0.0
棕榈油2309,p2309,2023-07-12 21:40,7590,7594,7594,7574,17292,1311656200,0.26,0.05,4.0,0.0
棕榈油2309,p2309,2023-07-12 21:45,7594,7596,7602,7590,12472,947351000,0.16,0.03,2.0,0.0
棕榈油2309,p2309,2023-07-12 21:50,7596,7592,7598,7582,9635,731162620,0.21,-0.05,-4.0,0.0
棕榈油2309,p2309,2023-07-12 21:55,7592,7582,7592,7574,12774,968482100,0.24,-0.13,-10.0,0.0
棕榈油2309,p2309,2023-07-12 22:00,7582,7584,7584,7576,7595,575705800,0.11,0.03,2.0,0.0
棕榈油2309,p2309,2023-07-12 22:05,7584,7572,7590,7570,11764,891687700,0.26,-0.16,-12.0,0.0
棕榈油2309,p2309,2023-07-12 22:10,7572,7568,7574,7562,13148,994917360,0.16,-0.05,-4.0,0.0
棕榈油2309,p2309,2023-07-12 22:15,7568,7556,7568,7546,16511,1247280820,0.29,-0.16,-12.0,0.0
棕榈油2309,p2309,2023-07-12 22:20,7554,7542,7558,7540,13077,987350840,0.24,-0.19,-14.0,0.0
棕榈油2309,p2309,2023-07-12 22:25,7540,7528,7542,7520,23784,1791017460,0.29,-0.19,-14.0,0.0
棕榈油2309,p2309,2023-07-12 22:30,7528,7526,7530,7516,16960,1275928520,0.19,-0.03,-2.0,0.0
棕榈油2309,p2309,2023-07-12 22:35,7526,7526,7532,7522,13208,994220260,0.13,0.0,0.0,0.0
棕榈油2309,p2309,2023-07-12 22:40,7526,7534,7536,7526,8042,605656480,0.13,0.11,8.0,0.0
棕榈油2309,p2309,2023-07-12 22:45,7534,7542,7542,7530,10507,791798240,0.16,0.11,8.0,0.0
棕榈油2309,p2309,2023-07-12 22:50,7542,7542,7544,7534,9385,707526860,0.13,0.0,0.0,0.0
棕榈油2309,p2309,2023-07-12 22:55,7544,7540,7546,7534,9110,686809640,0.16,-0.03,-2.0,0.0
棕榈油2309,p2309,2023-07-12 23:00,7538,7536,7544,7532,11242,847571180,0.16,-0.05,-4.0,0.0
棕榈油2309,p2309,2023-07-13 09:05,7496,7384,7496,7376,94824,7036432080,1.59,-2.02,-152.0,0.0
棕榈油2309,p2309,2023-07-13 09:10,7384,7380,7398,7378,36316,2683259580,0.27,-0.05,-4.0,0.0
棕榈油2309,p2309,2023-07-13 09:15,7380,7376,7384,7356,36855,2716828740,0.38,-0.05,-4.0,0.0
棕榈油2309,p2309,2023-07-13 09:20,7376,7388,7394,7368,24742,1826420200,0.35,0.16,12.0,0.0
棕榈油2309,p2309,2023-07-13 09:25,7390,7390,7398,7376,17318,1279424460,0.3,0.03,2.0,0.0
棕榈油2309,p2309,2023-07-13 09:30,7390,7394,7396,7382,11487,848905860,0.19,0.05,4.0,0.0
棕榈油2309,p2309,2023-07-13 09:35,7394,7400,7402,7386,13637,1008432560,0.22,0.08,6.0,0.0
棕榈油2309,p2309,2023-07-13 09:40,7400,7416,7422,7398,22598,1675157700,0.32,0.22,16.0,0.0
棕榈油2309,p2309,2023-07-13 09:45,7414,7418,7432,7414,16159,1199575280,0.24,0.03,2.0,0.0
棕榈油2309,p2309,2023-07-13 09:50,7418,7438,7438,7414,12263,910782700,0.32,0.27,20.0,0.0
棕榈油2309,p2309,2023-07-13 09:55,7438,7438,7446,7434,15280,1136946960,0.16,0.0,0.0,0.0
