期货名称,期货代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
热卷2310,hc2310,2023-01-03,4077,4055,4077,4005,11983,483476192,1.76,-0.83,-34.0,0.0
热卷2310,hc2310,2023-01-04,4032,4031,4070,4016,14768,596991968,1.34,-0.07,-3.0,0.0
热卷2310,hc2310,2023-01-05,4023,4018,4031,3975,17546,702188784,1.39,-0.59,-24.0,0.0
热卷2310,hc2310,2023-01-06,4023,4093,4112,4023,23968,975514208,2.22,2.3,92.0,0.0
热卷2310,hc2310,2023-01-09,4093,4082,4133,4070,13399,549105728,1.55,0.29,12.0,0.0
热卷2310,hc2310,2023-01-10,4087,4101,4120,4076,10744,439928960,1.07,0.07,3.0,0.0
热卷2310,hc2310,2023-01-11,4095,4130,4140,4079,13037,535921856,1.49,0.88,36.0,0.0
热卷2310,hc2310,2023-01-12,4122,4123,4133,4077,14007,575485760,1.36,0.32,13.0,0.0
热卷2310,hc2310,2023-01-13,4108,4140,4150,4098,11710,483637136,1.27,0.78,32.0,0.0
热卷2310,hc2310,2023-01-16,4127,4078,4127,4062,16837,688107872,1.57,-1.26,-52.0,0.0
热卷2310,hc2310,2023-01-17,4084,4089,4108,4051,12165,496048816,1.4,0.07,3.0,0.0
热卷2310,hc2310,2023-01-18,4096,4128,4139,4092,14299,588548208,1.15,1.25,51.0,0.0
热卷2310,hc2310,2023-01-19,4125,4152,4156,4122,15887,657409840,0.83,0.87,36.0,0.0
热卷2310,hc2310,2023-01-20,4156,4142,4159,4121,10959,453746544,0.92,0.1,4.0,0.0
热卷2310,hc2310,2023-01-30,4190,4170,4230,4157,15254,641106384,1.76,0.72,30.0,0.0
热卷2310,hc2310,2023-01-31,4170,4100,4186,4100,21983,909810368,2.05,-2.43,-102.0,0.0
热卷2310,hc2310,2023-02-01,4100,4049,4128,4041,26749,1091543504,2.1,-2.15,-89.0,0.0
热卷2310,hc2310,2023-02-02,4050,4010,4089,4001,18301,740955136,2.16,-1.72,-70.0,0.0
热卷2310,hc2310,2023-02-03,4010,4036,4037,3975,23639,947005920,1.53,-0.3,-12.0,0.0
热卷2310,hc2310,2023-02-06,4039,4043,4067,3993,22293,897932784,1.85,0.92,37.0,0.0
热卷2310,hc2310,2023-02-07,4038,4024,4056,3985,18255,733224064,1.76,-0.07,-3.0,0.0
热卷2310,hc2310,2023-02-08,4022,4072,4080,3994,19989,806503168,2.14,1.39,56.0,0.0
热卷2310,hc2310,2023-02-09,4075,4108,4120,4070,15998,654899376,1.24,1.83,74.0,0.0
热卷2310,hc2310,2023-02-10,4107,4084,4116,4046,20251,827998064,1.71,-0.22,-9.0,0.0
热卷2310,hc2310,2023-02-13,4096,4020,4096,4020,17307,701905840,1.86,-1.66,-68.0,0.0
热卷2310,hc2310,2023-02-14,4034,4064,4078,4000,21475,867762672,1.92,0.22,9.0,0.0
热卷2310,hc2310,2023-02-15,4067,4099,4113,4065,27471,1123318096,1.19,1.46,59.0,0.0
热卷2310,hc2310,2023-02-16,4096,4145,4158,4083,26437,1089496032,1.83,1.37,56.0,0.0
热卷2310,hc2310,2023-02-17,4146,4166,4179,4144,23115,962703664,0.85,1.09,45.0,0.0
热卷2310,hc2310,2023-02-20,4159,4189,4195,4136,19683,820790528,1.42,0.6,25.0,0.0
热卷2310,hc2310,2023-02-21,4204,4239,4240,4195,25246,1066710128,1.08,1.65,69.0,0.0
热卷2310,hc2310,2023-02-22,4240,4216,4262,4214,31634,1338905072,1.14,-0.21,-9.0,0.0
热卷2310,hc2310,2023-02-23,4223,4223,4267,4216,27519,1168271104,1.21,-0.21,-9.0,0.0
热卷2310,hc2310,2023-02-24,4218,4230,4242,4196,24377,1028714048,1.08,-0.35,-15.0,0.0
热卷2310,hc2310,2023-02-27,4220,4216,4253,4194,30046,1268056016,1.4,-0.09,-4.0,0.0
热卷2310,hc2310,2023-02-28,4228,4197,4228,4178,21892,918531616,1.18,-0.55,-23.0,0.0
热卷2310,hc2310,2023-03-01,4205,4243,4246,4195,32141,1358418896,1.22,1.14,48.0,0.0
热卷2310,hc2310,2023-03-02,4245,4256,4265,4230,29969,1274212336,0.83,0.71,30.0,0.0
热卷2310,hc2310,2023-03-03,4255,4300,4305,4255,35681,1528695664,1.18,1.15,49.0,0.0
热卷2310,hc2310,2023-03-06,4289,4254,4306,4229,51086,2173682032,1.8,-0.7,-30.0,0.0
热卷2310,hc2310,2023-03-07,4269,4277,4290,4243,31595,1349520048,1.1,0.54,23.0,0.0
热卷2310,hc2310,2023-03-08,4275,4261,4285,4244,38999,1665416416,0.96,-0.23,-10.0,0.0
热卷2310,hc2310,2023-03-09,4260,4315,4317,4242,62181,2658463056,1.76,1.05,45.0,0.0
热卷2310,hc2310,2023-03-10,4295,4305,4339,4295,54477,2354179200,1.03,0.7,30.0,0.0
热卷2310,hc2310,2023-03-13,4309,4358,4364,4307,39777,1727126352,1.32,0.86,37.0,0.0
热卷2310,hc2310,2023-03-14,4340,4397,4412,4312,147867,6454507520,2.3,1.27,55.0,0.0
热卷2310,hc2310,2023-03-15,4410,4360,4418,4352,103636,4550528256,1.51,-0.11,-5.0,0.0
热卷2310,hc2310,2023-03-16,4338,4231,4338,4230,154968,6635840256,2.46,-3.62,-159.0,0.0
热卷2310,hc2310,2023-03-17,4248,4271,4280,4198,96293,4084970384,1.91,-0.26,-11.0,0.0
热卷2310,hc2310,2023-03-20,4290,4220,4294,4220,101499,4321660672,1.74,-0.52,-22.0,0.0
热卷2310,hc2310,2023-03-21,4220,4192,4244,4180,90075,3792941472,1.5,-1.53,-65.0,0.0
热卷2310,hc2310,2023-03-22,4202,4199,4233,4171,104739,4398177024,1.47,-0.26,-11.0,0.0
热卷2310,hc2310,2023-03-23,4210,4141,4225,4140,138994,5811672320,2.02,-1.38,-58.0,0.0
热卷2310,hc2310,2023-03-24,4144,4164,4181,4112,141407,5860177920,1.65,-0.41,-17.0,0.0
热卷2310,hc2310,2023-03-27,4140,4154,4180,4134,147267,6122681600,1.11,0.24,10.0,0.0
热卷2310,hc2310,2023-03-28,4174,4191,4194,4148,143474,5990247936,1.11,0.82,34.0,0.0
热卷2310,hc2310,2023-03-29,4198,4208,4217,4186,132229,5558440960,0.74,0.79,33.0,0.0
热卷2310,hc2310,2023-03-30,4218,4217,4230,4186,160250,6739951104,1.05,0.33,14.0,0.0
热卷2310,hc2310,2023-03-31,4218,4227,4261,4212,153099,6485460736,1.17,0.52,22.0,0.0
热卷2310,hc2310,2023-04-03,4223,4103,4224,4102,303345,12634392064,2.88,-3.14,-133.0,0.0
热卷2310,hc2310,2023-04-04,4100,4052,4115,4044,265473,10815085312,1.7,-2.71,-113.0,0.0
热卷2310,hc2310,2023-04-06,4030,4015,4054,4003,336173,13538622720,1.25,-1.42,-58.0,0.0
热卷2310,hc2310,2023-04-07,4025,4072,4085,4024,338960,13770221312,1.51,1.12,45.0,0.0
热卷2310,hc2310,2023-04-10,4080,4003,4113,3973,488345,19728215808,3.45,-1.45,-59.0,0.0
热卷2310,hc2310,2023-04-11,4005,4029,4035,3965,355118,14199113728,1.73,-0.25,-10.0,0.0
热卷2310,hc2310,2023-04-12,4030,3997,4042,3982,273990,10989848576,1.5,-0.03,-1.0,0.0
热卷2310,hc2310,2023-04-13,4005,3957,4010,3937,439242,17420614144,1.82,-1.35,-54.0,0.0
热卷2310,hc2310,2023-04-14,3966,3986,4030,3960,355428,14211117312,1.77,0.5,20.0,0.0
热卷2310,hc2310,2023-04-17,3990,4016,4027,3972,362437,14488016128,1.38,0.45,18.0,0.0
热卷2310,hc2310,2023-04-18,4016,4037,4058,4016,309725,12505064448,1.05,1.0,40.0,0.0
热卷2310,hc2310,2023-04-19,4037,4009,4047,3996,310696,12503092480,1.26,-0.69,-28.0,0.0
热卷2310,hc2310,2023-04-20,3995,3973,3998,3948,439834,17476146944,1.24,-1.27,-51.0,0.0
热卷2310,hc2310,2023-04-21,3968,3883,3969,3880,444458,17413362688,2.24,-2.27,-90.0,0.0
热卷2310,hc2310,2023-04-24,3878,3773,3884,3756,592363,22587632896,3.27,-3.68,-144.0,0.0
热卷2310,hc2310,2023-04-25,3773,3752,3815,3750,372950,14120762112,1.7,-1.6,-61.0,0.0
热卷2310,hc2310,2023-04-26,3740,3771,3800,3729,431042,16226534400,1.88,-0.4,-15.0,0.0
热卷2310,hc2310,2023-04-27,3800,3740,3819,3740,443208,16759759616,2.1,-0.64,-24.0,0.0
热卷2310,hc2310,2023-04-28,3730,3721,3772,3714,411358,15379479296,1.53,-1.59,-60.0,0.0
热卷2310,hc2310,2023-05-04,3690,3663,3726,3657,422990,15612322304,1.85,-2.01,-75.0,0.0
热卷2310,hc2310,2023-05-05,3651,3676,3679,3580,716246,25991502848,2.68,-0.38,-14.0,0.0
热卷2310,hc2310,2023-05-08,3658,3812,3814,3658,844103,31515067648,4.3,5.07,184.0,0.0
热卷2310,hc2310,2023-05-09,3818,3774,3821,3771,480869,18271640832,1.34,1.1,41.0,0.0
热卷2310,hc2310,2023-05-10,3770,3760,3803,3734,528599,19901344256,1.82,-1.03,-39.0,0.0
热卷2310,hc2310,2023-05-11,3760,3653,3774,3650,688275,25470147584,3.29,-2.95,-111.0,0.0
热卷2310,hc2310,2023-05-12,3634,3642,3686,3614,520737,18991902720,1.95,-1.57,-58.0,0.0
热卷2310,hc2310,2023-05-15,3646,3732,3777,3646,718630,26738534144,3.59,2.33,85.0,0.0
热卷2310,hc2310,2023-05-16,3732,3708,3766,3696,416318,15529978624,1.88,-0.32,-12.0,0.0
热卷2310,hc2310,2023-05-17,3708,3775,3783,3703,423447,15845187584,2.14,1.21,45.0,0.0
热卷2310,hc2310,2023-05-18,3782,3761,3793,3720,424199,15943856896,1.95,0.53,20.0,0.0
热卷2310,hc2310,2023-05-19,3750,3722,3771,3685,536503,20015543808,2.29,-0.96,-36.0,0.0
热卷2310,hc2310,2023-05-22,3725,3647,3750,3631,585775,21582097152,3.19,-2.23,-83.0,0.0
热卷2310,hc2310,2023-05-23,3641,3651,3695,3640,444775,16301690624,1.49,-0.9,-33.0,0.0
热卷2310,hc2310,2023-05-24,3650,3551,3664,3548,581915,20927166208,3.17,-3.11,-114.0,0.0
热卷2310,hc2310,2023-05-25,3544,3532,3593,3515,585830,20764211200,2.17,-1.78,-64.0,0.0
热卷2310,hc2310,2023-05-26,3521,3606,3626,3507,710934,25327788800,3.36,1.75,62.0,0.0
热卷2310,hc2310,2023-05-29,3606,3617,3643,3575,503373,18159311104,1.91,1.54,55.0,0.0
热卷2310,hc2310,2023-05-30,3615,3572,3633,3561,428617,15417901056,2.0,-0.97,-35.0,0.0
热卷2310,hc2310,2023-05-31,3565,3581,3589,3533,444407,15809211904,1.56,-0.44,-16.0,0.0
热卷2310,hc2310,2023-06-01,3565,3664,3668,3562,548849,19900106496,2.98,3.01,107.0,0.0
热卷2310,hc2310,2023-06-02,3660,3722,3745,3632,641042,23669556736,3.12,2.68,97.0,0.0
热卷2310,hc2310,2023-06-05,3730,3765,3809,3722,598518,22537595392,2.36,1.98,73.0,0.0
热卷2310,hc2310,2023-06-06,3765,3765,3805,3754,428544,16205229056,1.35,0.0,0.0,0.0
热卷2310,hc2310,2023-06-07,3765,3721,3779,3685,640012,23905314304,2.49,-1.59,-60.0,0.0
热卷2310,hc2310,2023-06-08,3752,3750,3778,3724,449861,16872342016,1.45,0.4,15.0,0.0
热卷2310,hc2310,2023-06-09,3752,3823,3829,3752,523820,19874821376,2.05,1.95,73.0,0.0
热卷2310,hc2310,2023-06-12,3806,3763,3839,3738,495215,18728643840,2.66,-0.82,-31.0,0.0
热卷2310,hc2310,2023-06-13,3770,3848,3848,3752,563692,21473644032,2.54,1.77,67.0,0.0
热卷2310,hc2310,2023-06-14,3840,3847,3866,3825,395736,15207798528,1.08,1.0,38.0,0.0
热卷2310,hc2310,2023-06-15,3850,3861,3880,3824,413035,15914367232,1.46,0.49,19.0,0.0
热卷2310,hc2310,2023-06-16,3865,3899,3905,3856,402005,15604801792,1.27,1.19,46.0,0.0
热卷2310,hc2310,2023-06-19,3900,3852,3907,3838,511717,19817588480,1.78,-0.75,-29.0,0.0
