期货名称,期货代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
菜油309,OI309,2023-07-18 21:05,9614,9693,9733,9614,43637,4236279960,1.23,0.45,43.0,0.0
菜油309,OI309,2023-07-18 21:10,9694,9682,9694,9672,22963,2223254040,0.23,-0.11,-11.0,0.0
菜油309,OI309,2023-07-18 21:15,9681,9682,9707,9679,17899,1735179020,0.29,0.0,0.0,0.0
菜油309,OI309,2023-07-18 21:20,9682,9691,9697,9675,12286,1190528430,0.23,0.09,9.0,0.0
菜油309,OI309,2023-07-18 21:25,9692,9677,9694,9673,9367,906194950,0.22,-0.14,-14.0,0.0
菜油309,OI309,2023-07-18 21:30,9677,9680,9685,9676,6727,651053860,0.09,0.03,3.0,0.0
菜油309,OI309,2023-07-18 21:35,9680,9700,9703,9665,23395,2266548560,0.39,0.21,20.0,0.0
菜油309,OI309,2023-07-18 21:40,9701,9708,9723,9701,27067,2630137950,0.23,0.08,8.0,0.0
菜油309,OI309,2023-07-18 21:45,9709,9718,9720,9702,17771,1725064990,0.19,0.1,10.0,0.0
菜油309,OI309,2023-07-18 21:50,9718,9707,9719,9696,10509,1021079030,0.24,-0.11,-11.0,0.0
菜油309,OI309,2023-07-18 21:55,9707,9709,9711,9697,7636,740615640,0.14,0.02,2.0,0.0
菜油309,OI309,2023-07-18 22:00,9708,9715,9718,9705,6731,652839690,0.13,0.06,6.0,0.0
菜油309,OI309,2023-07-18 22:05,9716,9721,9732,9716,17648,1716152240,0.16,0.06,6.0,0.0
菜油309,OI309,2023-07-18 22:10,9721,9735,9736,9714,11070,1076247760,0.23,0.14,14.0,0.0
菜油309,OI309,2023-07-18 22:15,9736,9730,9736,9724,7812,760345420,0.12,-0.05,-5.0,0.0
菜油309,OI309,2023-07-18 22:20,9729,9717,9730,9715,9651,938958220,0.15,-0.13,-13.0,0.0
菜油309,OI309,2023-07-18 22:25,9716,9718,9721,9704,9673,938667920,0.17,0.01,1.0,0.0
菜油309,OI309,2023-07-18 22:30,9718,9725,9730,9716,7812,760773020,0.14,0.07,7.0,0.0
菜油309,OI309,2023-07-18 22:35,9726,9722,9734,9719,9886,962231700,0.15,-0.03,-3.0,0.0
菜油309,OI309,2023-07-18 22:40,9722,9734,9735,9720,6902,669908120,0.15,0.12,12.0,0.0
菜油309,OI309,2023-07-18 22:45,9735,9741,9743,9731,10455,1017731270,0.12,0.07,7.0,0.0
菜油309,OI309,2023-07-18 22:50,9741,9731,9741,9726,7965,776211170,0.15,-0.1,-10.0,0.0
菜油309,OI309,2023-07-18 22:55,9730,9730,9733,9724,5305,515009400,0.09,-0.01,-1.0,0.0
菜油309,OI309,2023-07-18 23:00,9731,9735,9738,9726,7951,775064260,0.12,0.05,5.0,0.0
菜油309,OI309,2023-07-19 09:05,9704,9717,9741,9704,28758,2795582980,0.38,-0.18,-18.0,0.0
