期货名称,期货代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
菜油309,OI309,2023-01-03,10480,10498,10569,10300,3033,317585424,2.56,-0.04,-4.0,0.0
菜油309,OI309,2023-01-04,10499,10489,10537,10345,4897,511295776,1.83,0.17,18.0,0.0
菜油309,OI309,2023-01-05,10451,10314,10454,10277,4119,427222688,1.7,-1.22,-127.0,0.0
菜油309,OI309,2023-01-06,10349,10284,10362,10205,3133,321633776,1.51,-0.85,-88.0,0.0
菜油309,OI309,2023-01-09,10242,10121,10292,10098,3465,352979552,1.89,-1.41,-145.0,0.0
菜油309,OI309,2023-01-10,10151,9980,10166,9923,4811,481677328,2.39,-2.03,-207.0,0.0
菜油309,OI309,2023-01-11,10011,10002,10038,9959,5967,596700000,0.79,-0.1,-10.0,0.0
菜油309,OI309,2023-01-12,10031,9988,10039,9945,7380,737704800,0.94,-0.12,-12.0,0.0
菜油309,OI309,2023-01-13,9980,9894,10020,9840,10736,1066514240,1.8,-1.02,-102.0,0.0
菜油309,OI309,2023-01-16,9850,9907,9933,9822,4985,492966656,1.12,-0.27,-27.0,0.0
菜油309,OI309,2023-01-17,9886,9906,9954,9881,3436,341057360,0.74,0.17,17.0,0.0
菜油309,OI309,2023-01-18,9923,10022,10062,9858,5470,544812000,2.06,0.97,96.0,0.0
菜油309,OI309,2023-01-19,10032,9935,10037,9893,5643,561478496,1.45,-0.25,-25.0,0.0
菜油309,OI309,2023-01-20,9949,9962,10028,9927,4000,399360000,1.02,0.12,12.0,0.0
菜油309,OI309,2023-01-30,9959,10011,10059,9938,5322,532519328,1.21,0.27,27.0,0.0
菜油309,OI309,2023-01-31,10028,9960,10051,9942,10115,1011803456,1.09,-0.46,-46.0,0.0
菜油309,OI309,2023-02-01,9944,9974,10015,9875,10050,999472496,1.4,-0.29,-29.0,0.0
菜油309,OI309,2023-02-02,9968,9740,9990,9723,17112,1684163040,2.68,-2.06,-205.0,0.0
菜油309,OI309,2023-02-03,9728,9960,9974,9706,16145,1594318752,2.72,1.2,118.0,0.0
菜油309,OI309,2023-02-06,9938,10008,10045,9862,16322,1627629840,1.85,1.35,133.0,0.0
菜油309,OI309,2023-02-07,10008,9982,10030,9908,12390,1235406896,1.22,0.1,10.0,0.0
菜油309,OI309,2023-02-08,9976,9964,10029,9944,12269,1224814272,0.85,-0.07,-7.0,0.0
菜油309,OI309,2023-02-09,9965,9970,9992,9891,13126,1306693296,1.01,-0.13,-13.0,0.0
菜油309,OI309,2023-02-10,9977,9825,10025,9782,21753,2159855376,2.44,-1.31,-130.0,0.0
菜油309,OI309,2023-02-13,9843,9890,9966,9831,16247,1605853488,1.36,-0.39,-39.0,0.0
菜油309,OI309,2023-02-14,9894,9901,9934,9868,9218,913135088,0.67,0.17,17.0,0.0
菜油309,OI309,2023-02-15,9906,9865,9951,9834,24967,2470234976,1.18,-0.41,-41.0,0.0
菜油309,OI309,2023-02-16,9874,9946,9967,9824,24745,2453219296,1.45,0.53,52.0,0.0
菜油309,OI309,2023-02-17,9954,10071,10096,9949,21640,2171574000,1.48,1.58,157.0,0.0
菜油309,OI309,2023-02-20,10058,10017,10058,9981,25956,2598455168,0.77,-0.18,-18.0,0.0
菜油309,OI309,2023-02-21,10017,10013,10070,9970,23007,2304611184,1.0,0.02,2.0,0.0
菜油309,OI309,2023-02-22,10014,10003,10056,9977,24273,2431426416,0.79,-0.14,-14.0,0.0
菜油309,OI309,2023-02-23,10003,9911,10090,9906,44624,4469093632,1.84,-1.06,-106.0,0.0
菜油309,OI309,2023-02-24,9930,9938,9951,9854,30073,2979933568,0.97,-0.77,-77.0,0.0
菜油309,OI309,2023-02-27,9933,9905,9967,9864,25723,2550178224,1.04,-0.04,-4.0,0.0
菜油309,OI309,2023-02-28,9918,9910,9929,9870,20126,1993077776,0.6,-0.04,-4.0,0.0
菜油309,OI309,2023-03-01,9908,9897,9938,9847,21394,2117150240,0.92,-0.06,-6.0,0.0
菜油309,OI309,2023-03-02,9897,9958,9979,9867,49210,4876710912,1.13,0.63,62.0,0.0
菜油309,OI309,2023-03-03,9945,10041,10060,9940,31184,3116528960,1.21,1.32,131.0,0.0
菜油309,OI309,2023-03-06,10026,9860,10036,9857,31524,3134116080,1.79,-1.34,-134.0,0.0
菜油309,OI309,2023-03-07,9857,9806,9860,9793,25383,2494133584,0.67,-1.37,-136.0,0.0
菜油309,OI309,2023-03-08,9776,9698,9808,9696,27481,2677748640,1.14,-1.3,-128.0,0.0
菜油309,OI309,2023-03-09,9697,9599,9716,9568,37274,3595450048,1.52,-1.49,-145.0,0.0
菜油309,OI309,2023-03-10,9602,9305,9641,9279,54936,5178816768,3.75,-3.54,-341.0,0.0
菜油309,OI309,2023-03-13,9298,9259,9320,9205,38334,3551261760,1.22,-1.78,-168.0,0.0
菜油309,OI309,2023-03-14,9130,9193,9237,9047,45123,4137327872,2.05,-0.77,-71.0,0.0
菜油309,OI309,2023-03-15,9206,9090,9214,9082,37240,3406342800,1.44,-0.86,-79.0,0.0
